user_id,target_pos,inclusion_pos,original_interactions,exclusion_interactions,inclusion_interactions,length_exclusion_cfs,length_inclusion_cfs,inclusion_removed_items,category
10,1,9,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 612, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 612, 647, 660, 662, 671, 734, 742, 759, 3587]",2,1,[3587],0
10,3,9,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 22, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 22, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759, 3706]",4,1,[3706],0
10,5,8,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759, 3578]",1,1,[3578],2
10,7,5,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759, 3621]",1,1,[3621],2
11,1,8,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 507, 531, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 507, 531, 639, 684, 704, 746, 789, 799, 807, 823, 829, 3226]",4,1,[3226],0
11,3,5,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 185, 292, 306, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 185, 292, 306, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829, 3244]",2,1,[3244],0
11,5,7,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829, 3492]",4,1,[3492],0
11,7,9,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 789, 799, 807, 823, 829, 3598]",1,1,[3598],2
15,1,8,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 125, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 125, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3586]",3,1,[3586],0
15,3,9,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3556]",2,1,[3556],0
15,5,8,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3487]",1,1,[3487],2
15,7,9,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3600]",1,1,[3600],2
17,1,7,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 91, 117, 118, 150, 323, 349, 373, 377, 960, 978, 1010]","[11, 91, 117, 118, 150, 323, 349, 373, 377, 960, 978, 1010, 3177]",8,1,[3177],0
17,3,8,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 278, 323, 373, 377, 529, 741, 749, 960, 970, 990, 1009, 1010]","[11, 278, 323, 373, 377, 529, 741, 749, 960, 970, 990, 1009, 1010, 3287]",7,1,[3287],0
17,5,6,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 117, 150, 278, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 117, 150, 278, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010, 3600]",3,1,[3600],0
17,7,8,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010, 3706]",2,1,[3706],0
18,1,1,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3706]",3,1,[3706],0
18,3,2,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3348]",2,1,[3348],0
18,5,8,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 354, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 354, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3650]",3,1,[3650],0
18,7,9,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3513]",1,1,[3513],2
19,1,8,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 117, 232, 316, 353, 506, 520, 539, 601, 689, 733, 874, 995, 1047, 1058, 1128, 1161]","[14, 117, 232, 316, 353, 506, 520, 539, 601, 689, 733, 874, 995, 1047, 1058, 1128, 1161, 3532]",3,1,[3532],0
19,3,9,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 117, 232, 316, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 117, 232, 316, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161, 3632]",2,1,[3632],0
19,5,3,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 117, 156, 232, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 117, 156, 232, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161, 3319]",1,1,[3319],2
19,7,3,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161, 3585]",1,1,[3585],2
22,1,6,"[73, 128, 161, 187, 215, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224]","[161, 187, 215, 567, 623, 668, 739, 742, 776, 1064, 1102, 1150, 1175, 1222]","[161, 187, 215, 567, 623, 668, 739, 742, 776, 1064, 1102, 1150, 1175, 1222, 2414]",6,1,[2414],0
22,3,8,"[73, 128, 161, 187, 215, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224]","[73, 128, 161, 187, 567, 623, 668, 732, 739, 742, 776, 1064, 1150, 1175, 1183, 1207, 1222, 1224]","[73, 128, 161, 187, 567, 623, 668, 732, 739, 742, 776, 1064, 1150, 1175, 1183, 1207, 1222, 1224, 3511]",2,1,[3511],0
22,5,9,"[73, 128, 161, 187, 215, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224]","[128, 187, 215, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224]","[128, 187, 215, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224, 3566]",2,1,[3566],0
22,7,6,"[73, 128, 161, 187, 215, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224]","[73, 128, 187, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224]","[73, 128, 187, 567, 623, 668, 732, 739, 742, 776, 1064, 1102, 1150, 1175, 1183, 1207, 1222, 1224, 3532]",2,1,[3532],0
23,1,8,"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272, 1284]","[39, 91, 152, 203, 324, 378, 462, 520, 719, 958, 1054, 1159, 1254, 1259, 1267, 1272, 1284]","[39, 91, 152, 203, 324, 378, 462, 520, 719, 958, 1054, 1159, 1254, 1259, 1267, 1272, 1284, 3624]",3,1,[3624],0
5,1,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359, 2814]",9,1,[2814],0
5,3,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 3586]",4,1,[3586],0
5,5,6,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372, 3706]",2,1,[3706],0
5,7,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 3511]",1,1,[3511],2
8,1,3,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514, 3544]",3,1,[3544],0
8,3,4,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514, 3706]",2,1,[3706],0
8,5,8,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 3706]",1,1,[3706],2
8,7,2,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 3706]",2,1,[3706],0
9,1,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549, 3340]",6,1,[3340],0
9,3,7,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549, 3706]",4,1,[3706],0
9,5,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 539, 549]","[24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 539, 549, 3536]",2,1,[3536],0
9,7,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 40, 90, 94, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 40, 90, 94, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549, 3706]",2,1,[3706],0
10,1,9,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 612, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 612, 647, 660, 662, 671, 734, 742, 759, 3587]",2,1,[3587],0
10,3,9,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 22, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 22, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759, 3706]",4,1,[3706],0
10,5,8,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759, 3578]",1,1,[3578],2
10,7,5,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759, 3621]",1,1,[3621],2
11,1,8,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 507, 531, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 507, 531, 639, 684, 704, 746, 789, 799, 807, 823, 829, 3226]",4,1,[3226],0
11,3,5,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 185, 292, 306, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 185, 292, 306, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829, 3244]",2,1,[3244],0
11,5,7,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[165, 292, 306, 397, 466, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829, 3492]",4,1,[3492],0
11,7,9,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 789, 799, 807, 823, 829, 3598]",1,1,[3598],2
15,1,8,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 125, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 125, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3586]",3,1,[3586],0
15,3,9,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3556]",2,1,[3556],0
15,5,8,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3487]",1,1,[3487],2
15,7,9,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926, 3600]",1,1,[3600],2
17,1,7,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 91, 117, 118, 150, 323, 349, 373, 377, 960, 978, 1010]","[11, 91, 117, 118, 150, 323, 349, 373, 377, 960, 978, 1010, 3177]",8,1,[3177],0
17,3,8,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 278, 323, 373, 377, 529, 741, 749, 960, 970, 990, 1009, 1010]","[11, 278, 323, 373, 377, 529, 741, 749, 960, 970, 990, 1009, 1010, 3287]",7,1,[3287],0
17,5,6,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 117, 150, 278, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 117, 150, 278, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010, 3600]",3,1,[3600],0
17,7,8,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010, 3706]",2,1,[3706],0
18,1,1,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3706]",3,1,[3706],0
18,3,2,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3348]",2,1,[3348],0
18,5,8,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 354, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[58, 105, 245, 260, 354, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 3650]",3,1,[3650],0
