user_id,target_pos,inclusion_pos,original_interactions,exclusion_interactions,inclusion_interactions,length_exclusion_cfs,length_inclusion_cfs
9,5,9,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 3706, 3539, 3559]",2,[3539 3559 3706]
9,7,38,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]",1,[]
10,1,3,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 3228]",2,[3228]
10,3,6,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 1806]",1,[1806]
10,5,3,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660, 3706]",1,[3706]
10,7,7,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660, 3676]",1,[3676]
11,1,1,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684, 1806]",1,[1806]
11,3,35,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823]",1,[]
11,5,8,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684, 3706]",2,[3706]
11,7,5,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684, 2787, 3556, 3565, 3536, 3706, 2778]",1,[2778 2787 3536 3556 3565 3706]
