user_id,target_pos,original_interactions,best_interactions,cfs,len_cfs
10,5,"[539 734 647 759 742  20 592 569 563  22  42 612 671  15 547 613  11 662
 435 660]","[539 734 647 759 742  20 592 569 563  22  42 612 671  15 547 613  11 435
 660]",[662],1
10,7,"[539 734 647 759 742  20 592 569 563  22  42 612 671  15 547 613  11 662
 435 660]","[539 734 647 759 742  20 592 569 563  22  42 612 671  15 547  11 662 435
 660]",[613],1
11,1,"[746 165 507 292 397 466 531 306 789 185  68  50 829 799 601 807 639 704
 823 684]","[746 165 507 292 397 466 531 306 789 185  68 829 799 601 807 639 704 823
 684]",[50],1
11,3,"[746 165 507 292 397 466 531 306 789 185  68  50 829 799 601 807 639 704
 823 684]","[746 165 507 292 397 466 531 306 789 185  68  50 829 799 601 807 639 704
 823]",[684],1
11,5,"[746 165 507 292 397 466 531 306 789 185  68  50 829 799 601 807 639 704
 823 684]",[746 165 292 397 466 531 306 789 185  68  50 829 799 807 639 704 823 684],[507 601],2
11,7,"[746 165 507 292 397 466 531 306 789 185  68  50 829 799 601 807 639 704
 823 684]","[746 165 507 292 397 466 531 306 789 185  68 829 799 601 807 639 704 823
 684]",[50],1
15,1,"[117 471 377  91 399  21 872 901 926 826 123 515 922  94 894 915 851 188
 125 623]","[117 471 377  91 399  21 872 901 926 826 123 515 922  94 894 915 851 188
 623]",[125],1
15,3,"[117 471 377  91 399  21 872 901 926 826 123 515 922  94 894 915 851 188
 125 623]","[117 471 377  91 399  21 872 901 926 826 123 515 922  94 894 851 188 125
 623]",[915],1
15,5,"[117 471 377  91 399  21 872 901 926 826 123 515 922  94 894 915 851 188
 125 623]","[117 471 377  91 399  21 872 901 926 826 123 515 922  94 915 851 188 125
 623]",[894],1
15,7,"[117 471 377  91 399  21 872 901 926 826 123 515 922  94 894 915 851 188
 125 623]","[117 471 377  91 399  21 872 901 926 826 123 515 922 894 915 851 188 125
 623]",[94],1
17,1,"[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  529  970  978 1010]","[ 373   11  960  117  150  118  349   21  377  741  749  278  323  990
 1009  970  978 1010]",[ 91 529],2
17,3,"[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  529  970  978 1010]","[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  529  978 1010]",[970],1
17,5,"[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  529  970  978 1010]","[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  970  978 1010]",[529],1
17,7,"[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  529  970  978 1010]","[ 373   11  960  117  150  118  349   21   91  377  741  749  278  323
  990 1009  529  970 1010]",[978],1
18,1,"[  31 1044 1061 1051  567  402 1109  260  245   58  475  105 1099  795
  951 1050  471  354  686  417]","[  31 1044 1061 1051  567  402 1109  260  245   58  475  105 1099  795
  951  471  354  686]",[ 417 1050],2
18,3,"[  31 1044 1061 1051  567  402 1109  260  245   58  475  105 1099  795
  951 1050  471  354  686  417]","[  31 1044 1061 1051  567  402 1109  260  245   58  475 1099  795  951
 1050  354  686  417]",[105 471],2
18,5,"[  31 1044 1061 1051  567  402 1109  260  245   58  475  105 1099  795
  951 1050  471  354  686  417]","[  31 1044 1061 1051  567  402 1109  260  245   58  475 1099  795  951
 1050  354  686  417]",[105 471],2
18,7,"[  31 1044 1061 1051  567  402 1109  260  245   58  475  105 1099  795
  951 1050  471  354  686  417]","[  31 1044 1061 1051  567  402 1109  245   58  475  105 1099  795  951
 1050  471  354  686  417]",[260],1
19,1,"[1047  506  601  316  689  117  995  539  433  971  874  353  232  520
  733  156   14 1161 1128 1058]","[1047  506  601  316  689  117  995  539  433  971  874  353  232  733
  156   14 1161 1058]",[ 520 1128],2
19,3,"[1047  506  601  316  689  117  995  539  433  971  874  353  232  520
  733  156   14 1161 1128 1058]","[1047  506  601  316  689  117  995  539  433  971  874  353  232  520
  733  156   14 1161 1128]",[1058],1
19,5,"[1047  506  601  316  689  117  995  539  433  971  874  353  232  520
  733  156   14 1161 1128 1058]","[1047  506  601  316  689  117  995  539  433  971  874  353  232  733
  156   14 1161 1128 1058]",[520],1
19,7,"[1047  506  601  316  689  117  995  539  433  971  874  353  232  520
  733  156   14 1161 1128 1058]","[1047  506  601  316  689  117  995  539  433  971  353  232  520  733
  156   14 1161 1128 1058]",[874],1
22,1,"[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1102 1207]","[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1102]",[1207],1
22,3,"[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1102 1207]","[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1207]",[1102],1
22,5,"[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1102 1207]","[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1102]",[1207],1
22,7,"[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1102 1207]","[1222  739  567 1175  668  732 1224  776  161 1064 1150   73  623 1183
  128  742  187  215 1207]",[1102],1
23,1,"[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
  203 1246 1272 1267  602 1054]","[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
  203 1246 1272 1267  602]",[1054],1
23,3,"[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
  203 1246 1272 1267  602 1054]","[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
 1246 1272 1267  602 1054]",[203],1
23,5,"[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
  203 1246 1272 1267  602 1054]","[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
 1246 1272 1267  602 1054]",[203],1
23,7,"[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  719
  203 1246 1272 1267  602 1054]","[ 378  324 1254 1159 1284   39  152  958 1259  462  948   91  520  203
 1246 1272 1267  602 1054]",[719],1
24,1,"[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  670  604]","[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  670]",[604],1
24,3,"[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  670  604]","[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  670]",[604],1
24,5,"[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  670  604]","[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  604]",[670],1
24,7,"[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  670  604]","[ 677 1039    6  393   97  861  397  648  401  419 1166 1313  777  901
  264   44  187  587  604]",[670],1
26,1,"[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1059 1277 1191]","[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1059 1191]",[1277],1
26,3,"[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1059 1277 1191]","[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1059 1191]",[1277],1
26,5,"[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1059 1277 1191]","[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1277 1191]",[1059],1
26,7,"[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1059 1277 1191]","[1353 1350    4 1339  657  391 1320 1408  930 1024  140  581 1426   15
   83  216   11 1277 1191]",[1059],1
28,1,"[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609 1462  417   41]","[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609  417   41]",[1462],1
28,3,"[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609 1462  417   41]","[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609  417   41]",[1462],1
28,5,"[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609 1462  417   41]","[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  609 1462  417   41]",[171],1
28,7,"[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609 1462  417   41]","[ 106  724   97 1211  218 1459  377  727 1463   56  383 1062   83 1065
  543  171  609  417   41]",[1462],1
29,1,"[ 211  214 1480 1475 1473  729  616  434  212  215  118  114  223  703
 1482  647 1072 1469  387  196]","[ 211  214 1480 1475 1473  729  616  434  212  215  118  114  223  703
 1482  647 1469  387]",[ 196 1072],2
29,3,"[ 211  214 1480 1475 1473  729  616  434  212  215  118  114  223  703
 1482  647 1072 1469  387  196]","[ 211  214 1480 1475 1473  729  616  434  212  215  118  114  223  703
 1482  647 1072  387  196]",[1469],1
29,5,"[ 211  214 1480 1475 1473  729  616  434  212  215  118  114  223  703
 1482  647 1072 1469  387  196]","[ 211  214 1480 1475 1473  729  616  212  215  114  223  703 1482 1072
 1469  387  196]",[118 434 647],3
29,7,"[ 211  214 1480 1475 1473  729  616  434  212  215  118  114  223  703
 1482  647 1072 1469  387  196]","[ 214 1480 1475 1473  729  616  434  212  215  118  114  223  703 1482
  647 1072 1469  387  196]",[211],1
31,1,"[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778   84  615  833  732  275]","[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778  615  833]",[ 84 275 732],3
31,3,"[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778   84  615  833  732  275]","[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778   84  615  833  732]",[275],1
31,5,"[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778   84  615  833  732  275]","[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778   84  615  833  275]",[732],1
31,7,"[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  535
  778   84  615  833  732  275]","[  85  643  689  190 1305 1281  626  934  518 1492 1520 1257  677  778
   84  615  833  732  275]",[535],1
33,1,"[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  434  587  948  279  636]","[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  434  587  948  636]",[279],1
33,3,"[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  434  587  948  279  636]","[1287  554 1565   93  160  767  682 1009  712  428  615 1235 1477  410
  587  948  279  636]",[434 991],2
33,5,"[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  434  587  948  279  636]","[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  587  948  279  636]",[434],1
33,7,"[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  434  587  948  279  636]","[1287  554 1565   93  160  767  991  682 1009  712  428  615 1235 1477
  410  434  587  279  636]",[948],1
34,1,"[ 222 1043 1257  693 1501  507    4    8  181  559 1219  605  730  145
  376  149  577  553 1339   92]","[ 222 1043 1257  693  507    4  181  559 1219  605  730  145  376  149
  577  553 1339   92]",[   8 1501],2
34,3,"[ 222 1043 1257  693 1501  507    4    8  181  559 1219  605  730  145
  376  149  577  553 1339   92]","[ 222 1043 1257  693 1501  507    4  181  559 1219  605  730  145  376
  149  577  553 1339   92]",[8],1
34,5,"[ 222 1043 1257  693 1501  507    4    8  181  559 1219  605  730  145
  376  149  577  553 1339   92]","[ 222 1043 1257  693 1501  507    4  181  559 1219  605  730  145  376
  149  577  553 1339   92]",[8],1
34,7,"[ 222 1043 1257  693 1501  507    4    8  181  559 1219  605  730  145
  376  149  577  553 1339   92]","[1043 1257  693 1501  507    4    8  181  559 1219  605  730  145  376
  149  577  553 1339   92]",[222],1
35,1,"[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643 1196]","[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643]",[1196],1
35,3,"[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643 1196]","[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643]",[1196],1
35,5,"[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643 1196]","[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643]",[1196],1
35,7,"[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631 1626  809  577 1643 1196]","[ 530  168 1647 1395  384  418 1629  774  141  694 1628 1651  111 1612
 1631  809  577 1643 1196]",[1626],1
36,1,"[ 809  429 1296  466  255 1286  241  922  933  670  128  496  212 1661
  214  189 1670 1381  932  959]","[ 809  429 1296  466  255 1286  241  933  670  128  496  212 1661  214
  189 1670 1381  959]",[922 932],2
36,3,"[ 809  429 1296  466  255 1286  241  922  933  670  128  496  212 1661
  214  189 1670 1381  932  959]","[ 809  429 1296  466  255 1286  241  922  933  670  128  496  212 1661
  214  189 1670  932  959]",[1381],1
36,5,"[ 809  429 1296  466  255 1286  241  922  933  670  128  496  212 1661
  214  189 1670 1381  932  959]","[ 809  429 1296  466  255 1286  241  922  933  670  128  496  212 1661
  189 1670 1381  932  959]",[214],1
36,7,"[ 809  429 1296  466  255 1286  241  922  933  670  128  496  212 1661
  214  189 1670 1381  932  959]","[ 809  429 1296  466  255 1286  241  922  933  670  128  212 1661  214
  189 1670 1381  932  959]",[496],1
40,1,"[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1076 1089 1548]","[   6  278    7  647  623  196 1249  188  127 1185 1698 1467 1240 1702
 1699  990 1076]",[ 645 1089 1548],3
40,3,"[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1076 1089 1548]","[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1548]",[1076 1089],2
40,5,"[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1076 1089 1548]","[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1076 1089]",[1548],1
40,7,"[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1076 1089 1548]","[   6  278    7  647  623  196 1249  645  188  127 1185 1698 1467 1240
 1702 1699  990 1076 1548]",[1089],1
42,1,"[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  160  176  386 1177]","[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  160  386 1177]",[176],1
42,3,"[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  160  176  386 1177]","[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  176  386 1177]",[160],1
42,5,"[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  160  176  386 1177]","[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  160  386 1177]",[176],1
42,7,"[1723 1717  125  210 1711  214  670  211  187    7  151  844 1712  192
  740 1038  160  176  386 1177]","[1723 1717  125  210 1711  214  670  211  187  151  844 1712  192  740
 1038  160  176  386 1177]",[7],1
44,1,"[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206  738]","[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206]",[738],1
44,3,"[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206  738]","[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206]",[738],1
44,5,"[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206  738]","[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206]",[738],1
44,7,"[  14  756   30  219   97  897  848 1426 1737   21  912  203  617 1067
  720  190  386  167  206  738]","[  14  756   30  219   97  897  848 1426 1737   21  912  203 1067  720
  190  386  167  206  738]",[617],1
45,1,"[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  419
  180  576 1753 1088 1777 1226]","[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  419
  180  576 1753 1088 1226]",[1777],1
45,3,"[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  419
  180  576 1753 1088 1777 1226]","[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  180
  576 1753 1088 1777]",[ 419 1226],2
45,5,"[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  419
  180  576 1753 1088 1777 1226]","[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  419
  180  576 1753 1088 1777]",[1226],1
45,7,"[  90   14  165  362  901 1660 1265  677 1804  261 1802 1356  286  419
  180  576 1753 1088 1777 1226]","[  90   14  165  362  901 1660  677 1804  261 1802 1356  286  419  180
  576 1753 1088 1777 1226]",[1265],1
48,1,"[1092 1773 1418 1254  906  969 1864 1150 1298  566  146  562 1347 1461
  710  132 1392 1403 1260 1191]","[1092 1773 1418 1254  906  969 1864 1150 1298  566  146  562 1347 1461
  710  132 1392 1403 1191]",[1260],1
48,3,"[1092 1773 1418 1254  906  969 1864 1150 1298  566  146  562 1347 1461
  710  132 1392 1403 1260 1191]","[1092 1773 1254  906  969 1864 1150 1298  566  146  562 1347 1461  710
  132 1392 1403 1191]",[1260 1418],2
48,5,"[1092 1773 1418 1254  906  969 1864 1150 1298  566  146  562 1347 1461
  710  132 1392 1403 1260 1191]","[1092 1773 1418 1254  906 1864 1150 1298  566  146  562 1347 1461  710
  132 1392 1403 1260 1191]",[969],1
48,7,"[1092 1773 1418 1254  906  969 1864 1150 1298  566  146  562 1347 1461
  710  132 1392 1403 1260 1191]","[1092 1773 1418 1254  906  969 1864 1298  566  146  562 1347 1461  710
  132 1392 1403 1260 1191]",[1150],1
49,1,"[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  776  161  136]","[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  776  161]",[136],1
49,3,"[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  776  161  136]","[ 536  468   35   33   31 1684  125   44  133   65  121 1563  146   94
 1879 1146  776  161  136]",[58],1
49,5,"[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  776  161  136]","[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  776  161]",[136],1
49,7,"[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  776  161  136]","[ 536  468   35   33   31 1684  125   44  133   65   58  121 1563  146
   94 1879 1146  161  136]",[776],1
52,1,"[ 434  121   84  190   59  203  161  652  147   80  513  223  158 1869
  851 1890  126  591  838  900]","[ 434  121   84  190   59  203  161  652  147   80  513  223  158 1869
  851 1890  126  838]",[591 900],2
52,3,"[ 434  121   84  190   59  203  161  652  147   80  513  223  158 1869
  851 1890  126  591  838  900]","[ 434  121   84  190   59  203  161  652  147   80  513  223  158 1869
  851 1890  126  591  900]",[838],1
52,5,"[ 434  121   84  190   59  203  161  652  147   80  513  223  158 1869
  851 1890  126  591  838  900]","[ 434  121   84  190   59  203  161  147   80  513  223  158 1869  851
 1890  126  591  838  900]",[652],1
52,7,"[ 434  121   84  190   59  203  161  652  147   80  513  223  158 1869
  851 1890  126  591  838  900]","[ 434   84  190   59  203  161  652  147   80  513  223  158 1869  851
 1890  126  591  838  900]",[121],1
53,1,"[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1344 1276 1418  450]","[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1344 1276  450]",[1418],1
53,3,"[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1344 1276 1418  450]","[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1276  450]",[1344 1418],2
53,5,"[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1344 1276 1418  450]","[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960  450]",[1276 1344 1418],3
53,7,"[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1344 1276 1418  450]","[ 790  488  594 1303  467 1971 1849  448  495 1975 1898  660 1907  444
  514 1960 1344 1276 1418]",[450],1
58,1,"[ 800  143  557  539  113  734  677  656  600 1990 2017  559  533 1191
 1837  565 1723 1251 1720 1049]","[ 800  143  557  539  113  734  677  656  600 1990 2017  559  533 1191
 1837  565 1723 1251 1720]",[1049],1
58,3,"[ 800  143  557  539  113  734  677  656  600 1990 2017  559  533 1191
 1837  565 1723 1251 1720 1049]",[ 557  113  734  677  656  600 1990 2017  559  533 1191  565 1251 1720],[ 143  539  800 1049 1723 1837],6
58,5,"[ 800  143  557  539  113  734  677  656  600 1990 2017  559  533 1191
 1837  565 1723 1251 1720 1049]",[ 800  557  113  677  656  600 1990 2017  559  533 1191  565 1251 1720],[ 143  539  734 1049 1723 1837],6
58,7,"[ 800  143  557  539  113  734  677  656  600 1990 2017  559  533 1191
 1837  565 1723 1251 1720 1049]","[ 800  143  557  539  113  734  677  656  600 1990 2017  559  533 1191
 1837 1251 1720 1049]",[ 565 1723],2
59,1,"[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838 1923  171]","[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838]",[ 171 1923],2
59,3,"[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838 1923  171]","[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838  171]",[1923],1
59,5,"[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838 1923  171]","[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838  171]",[1923],1
59,7,"[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838 1923  171]","[ 166 1099 1576  265  610 2044  377 1587  124  866  253 1795   49 2041
  566 2053  279 1838 1923]",[171],1
62,1,"[1517  394  204  212 1008  595 2117 2099 1269 2066 1964   15  202 2104
  682  630 1583 1609 2038 2120]","[1517  394  204  212 1008  595 2117 2099 1269 2066 1964   15  202 2104
  682  630 1609 2038]",[1583 2120],2
62,3,"[1517  394  204  212 1008  595 2117 2099 1269 2066 1964   15  202 2104
  682  630 1583 1609 2038 2120]","[1517  394  212 1008  595 2117 2099 1269 2066 1964   15  202 2104  682
  630 1609 2038 2120]",[ 204 1583],2
62,5,"[1517  394  204  212 1008  595 2117 2099 1269 2066 1964   15  202 2104
  682  630 1583 1609 2038 2120]","[1517  394  204  212 1008  595 2117 2099 1269 2066 1964   15  202 2104
  630 1583 1609 2038 2120]",[682],1
62,7,"[1517  394  204  212 1008  595 2117 2099 1269 2066 1964   15  202 2104
  682  630 1583 1609 2038 2120]","[1517  394  204  212 1008  595 2117 2099 1269 1964   15  202 2104  682
  630 1583 1609 2038 2120]",[2066],1
63,1,"[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964 2138 2134  612]","[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964  612]",[2134 2138],2
63,3,"[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964 2138 2134  612]","[ 490  652  509   70 1691  318  335  407  871  899  874  867  185  123
  256 1964 2138 2134]",[612 928],2
63,5,"[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964 2138 2134  612]","[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964 2138 2134]",[612],1
63,7,"[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964 2138 2134  612]","[ 490  652  509   70 1691  318  335  407  871  899  928  874  867  185
  123  256 1964 2138  612]",[2134],1
73,1,"[ 570 1075 1095 2167  221 1058 1211 1229   65  588 1019  504  483  642
 2171 1073  199  793  132  243]","[ 570 1075 1095 2167  221 1058 1211 1229   65  588 1019  483  642 2171
 1073  199  793  132  243]",[504],1
73,3,"[ 570 1075 1095 2167  221 1058 1211 1229   65  588 1019  504  483  642
 2171 1073  199  793  132  243]","[ 570 1075 1095 2167  221 1058 1211 1229   65  588 1019  483  642 2171
 1073  199  793  132  243]",[504],1
